timestamp,temperature_c,humidity_pct,aqi
29-10-2025 00:00,29.73,64.22,80
29-10-2025 00:05,29.37,57.62,86
29-10-2025 00:10,29.72,61.93,86
29-10-2025 00:15,30.1,68.75,80
29-10-2025 00:20,29.17,62.67,80
29-10-2025 00:25,29.12,75.64,80
29-10-2025 00:30,29.97,62.96,89
29-10-2025 00:35,29.51,63.17,86
29-10-2025 00:40,28.83,78.8,80
29-10-2025 00:45,29.28,65.01,83
29-10-2025 00:50,28.72,61.82,83
29-10-2025 00:55,28.65,67.49,80
29-10-2025 01:00,28.94,64.83,80
29-10-2025 01:05,27.8,81.03,80
29-10-2025 01:10,27.82,63.55,88
29-10-2025 01:15,28.34,67.62,80
29-10-2025 01:20,28.04,64.78,82
29-10-2025 01:25,28.63,66.09,80
29-10-2025 01:30,27.94,78.93,80
29-10-2025 01:35,27.62,64.06,80
29-10-2025 01:40,28.98,67.69,81
29-10-2025 01:45,28.05,65.7,83
29-10-2025 01:50,28.12,65.15,81
29-10-2025 01:55,27.29,80.85,80
29-10-2025 02:00,27.64,68.82,80
29-10-2025 02:05,27.89,66.45,82
29-10-2025 02:10,27.17,67.77,80
29-10-2025 02:15,27.84,68.34,80
29-10-2025 02:20,27.27,64.78,80
29-10-2025 02:25,27.33,81,80
29-10-2025 02:30,27.08,69.94,80
29-10-2025 02:35,28.22,83.14,80
29-10-2025 02:40,27.19,72.09,80
29-10-2025 02:45,26.57,72.28,80
29-10-2025 02:50,27.41,72.18,80
29-10-2025 02:55,26.29,74.8,80
29-10-2025 03:00,26.91,86.44,80
29-10-2025 03:05,25.72,73.38,80
29-10-2025 03:10,25.94,71.42,80
29-10-2025 03:15,26.6,78.04,80
29-10-2025 03:20,26.77,77.68,80
29-10-2025 03:25,26.38,74.36,80
29-10-2025 03:30,26.13,75.78,80
29-10-2025 03:35,25.94,78.43,80
29-10-2025 03:40,25.24,76.17,80
29-10-2025 03:45,25.52,75.94,80
29-10-2025 03:50,25.54,79.83,80
29-10-2025 03:55,26.2,79.1,80
29-10-2025 04:00,25.74,80.2,80
29-10-2025 04:05,24.58,94.07,80
29-10-2025 04:10,25.52,78.22,80
29-10-2025 04:15,25.06,83.04,80
29-10-2025 04:20,24.81,85.27,80
29-10-2025 04:25,25.35,83.88,80
29-10-2025 04:30,25.45,88.03,80
29-10-2025 04:35,25.3,84.52,81
29-10-2025 04:40,24.31,84.52,80
29-10-2025 04:45,24.48,87.13,80
29-10-2025 04:50,24.69,87.65,80
29-10-2025 04:55,24.92,89.81,80
29-10-2025 05:00,24.09,95,87
29-10-2025 05:05,24.14,91.63,80
29-10-2025 05:10,23.58,92.99,80
29-10-2025 05:15,23.44,95,80
29-10-2025 05:20,24.36,91.63,81
29-10-2025 05:25,24.54,86.93,80
29-10-2025 05:30,23.73,91.04,80
29-10-2025 05:35,24.18,95,80
29-10-2025 05:40,23.77,90.15,85
29-10-2025 05:45,23.3,95,80
29-10-2025 05:50,23.61,81.94,80
29-10-2025 05:55,24.11,86.25,80
29-10-2025 06:00,23.3,95,80
29-10-2025 06:05,23.97,84.99,96
29-10-2025 06:10,23.3,86.93,80
29-10-2025 06:15,23.46,85.61,80
29-10-2025 06:20,23.3,84.59,80
29-10-2025 06:25,23.3,95,80
29-10-2025 06:30,23.3,84.51,80
29-10-2025 06:35,23.3,88.09,80
29-10-2025 06:40,23.3,84.47,80
29-10-2025 06:45,23.3,84.75,87
29-10-2025 06:50,23.36,84.88,80
29-10-2025 06:55,23.3,86.51,81
29-10-2025 07:00,23.3,86.81,84
29-10-2025 07:05,23.3,94.9,80
29-10-2025 07:10,23.3,88.14,81
29-10-2025 07:15,23.3,89.1,80
29-10-2025 07:20,23.3,95,80
29-10-2025 07:25,23.3,84.56,83
29-10-2025 07:30,23.3,85.76,87
29-10-2025 07:35,23.3,85.31,88
29-10-2025 07:40,23.3,95,80
29-10-2025 07:45,23.3,83.25,85
29-10-2025 07:50,23.3,95,80
29-10-2025 07:55,23.3,90.54,82
29-10-2025 08:00,23.3,85.76,99
29-10-2025 08:05,23.3,90.25,86
29-10-2025 08:10,23.3,88.62,84
29-10-2025 08:15,23.3,84.43,92
29-10-2025 08:20,23.3,89.45,103
29-10-2025 08:25,23.3,88.08,83
29-10-2025 08:30,23.3,87.53,126
29-10-2025 08:35,23.3,89.04,96
29-10-2025 08:40,23.3,89.61,95
29-10-2025 08:45,23.3,90.18,98
29-10-2025 08:50,23.35,91.22,93
29-10-2025 08:55,23.3,89.77,94
29-10-2025 09:00,23.3,86.29,97
29-10-2025 09:05,23.3,88.17,93
29-10-2025 09:10,23.3,95,99
29-10-2025 09:15,23.3,95,80
29-10-2025 09:20,23.3,94.05,99
29-10-2025 09:25,23.96,92.15,103
29-10-2025 09:30,23.3,89.88,93
29-10-2025 09:35,23.3,90.04,102
29-10-2025 09:40,23.3,89.39,115
29-10-2025 09:45,23.3,86.01,99
29-10-2025 09:50,23.63,89.54,111
29-10-2025 09:55,23.51,91.93,106
29-10-2025 10:00,23.6,88.31,103
29-10-2025 10:05,23.3,90.32,100
29-10-2025 10:10,24.07,91.19,108
29-10-2025 10:15,23.3,87.64,115
29-10-2025 10:20,23.84,95,80
